"PlusbusZoneCode","Name","NameLang","Country","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"CMTHN","CMTHN","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CNCK","CNCK","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CNTBE","CNTBE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CONGLTN","CONGLTN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CORBY","CORBY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CRAWLEY","CRAWLEY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CRDFCEN","CRDFCEN","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CREWE","CREWE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CRPHLY","CRPHLY","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CUFFLEY","CUFFLEY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"CWMBRAN","CWMBRAN","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DARTFD","DARTFD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DIDCOTP","DIDCOTP","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DLTN","DLTN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DNFRMLE","DNFRMLE","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DORKING","DORKING","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DOVERP","DOVERP","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DRBY","DRBY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DRHM","DRHM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DUMFRES","DUMFRES","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"DUNDETB","DUNDETB","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"EBOURNE","EBOURNE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"EDINBUR","EDINBUR","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"EGHAM","EGHAM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"EGRNSTD","EGRNSTD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ELEIGH","ELEIGH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ELGIN","ELGIN","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ELSMPRT","ELSMPRT","en","England","2013-12-18T14:00:02","2013-12-18T14:00:02",0,"new"
"ELTR","ELTR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"ELYY","ELYY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"EXETRSD","EXETRSD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FALKRKG","FALKRKG","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FALMTHT","FALMTHT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FAREHAM","FAREHAM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FLINT","FLINT","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FLITWCK","FLITWCK","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FLKSTNC","FLKSTNC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"FRTWLM","FRTWLM","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GLGC","GLGC","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GLOSTER","GLOSTER","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GRMSBYT","GRMSBYT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GRVSEND","GRVSEND","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GTHM","GTHM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GTMLVRN","GTMLVRN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"GUILDFD","GUILDFD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HAGT","HAGT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HARWICH","HARWICH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HASTING","HASTING","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HATFILD","HATFILD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HAVANT","HAVANT","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HAVRFDW","HAVRFDW","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HEMLHMP","HEMLHMP","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HEREFRD","HEREFRD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HERTFDE","HERTFDE","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HEXHAM","HEXHAM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HINCKLY","HINCKLY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HITCHIN","HITCHIN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HNTNGDN","HNTNGDN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HORSHAM","HORSHAM","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HRLWTWN","HRLWTWN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HRNEBAY","HRNEBAY","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HRPNDN","HRPNDN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HRTLEPL","HRTLEPL","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HULL","HULL","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HWYCOMB","HWYCOMB","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"HYWRDSH","HYWRDSH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"IPSWICH","IPSWICH","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"IVRNESS","IVRNESS","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"KCLD","KCLD","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"KDRMNST","KDRMNST","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"KETR","KETR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"KILMRNK","KILMRNK","en","Scotland","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"KLYNN","KLYNN","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LANCSTR","LANCSTR","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LCHC","LCHC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LEEDS","LEEDS","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LESTER","LESTER","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LEWES","LEWES","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LINCLNC","LINCLNC","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LISKARD","LISKARD","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LLNLLI","LLNLLI","en","Wales","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
"LMNGTNS","LMNGTNS","en","England","2013-10-11T12:27:13","2013-10-11T12:27:13",0,"new"
