,,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,RevisionNumber,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,NptgDistrictCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,AtcoAreaCode,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Longitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area,Latitude_area
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
AdminCode,AreaName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,West Sussex,5653.0,-0.435176031699326,0.24154977305405673,-0.9489838439,-0.6646989368,-0.39909121340000003,-0.2272090681,0.02620654087,5653.0,50.93646712271568,0.11581173455598902,50.7246782596,50.8317277414,50.931242732600005,51.0339503624,51.166704495299996,5653.0,3.572262515478507,2.0165508890291894,0.0,2.0,3.0,5.0,20.0,5653.0,77.19971696444365,64.83628399666313,1.0,44.0,54.0,102.0,235.0,5653.0,440.0,0.0,440.0,440.0,440.0,440.0,440.0,334.0,-0.36182914020958085,0.23214929135578882,-0.90864751,-0.49012333,-0.30864465,-0.17520871,-0.0167286,334.0,50.946939611736525,0.13432796328412624,50.78654154,50.82936891,50.896731814999995,51.09540483,51.16101589
107,West Yorkshire,17285.0,-1.6872670961014464,0.1881238799721227,-2.1630670200999997,-1.8253198815,-1.7157103335,-1.5445057546,-1.2188389757,17285.0,53.74058929509637,0.08500516037462945,53.5299005134,53.6802016826,53.734735586000006,53.806551713199994,53.959216149300005,17285.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,17285.0,251.32693086491176,8.796615221067203,168.0,245.0,250.0,252.0,271.0,17285.0,450.0,0.0,450.0,450.0,450.0,450.0,450.0,14913.0,-1.6741583445993427,0.18613063951820177,-2.16306717,-1.81139391,-1.69658853,-1.53429556,-1.21994831,14913.0,53.74291457252934,0.08138005218151155,53.52995998,53.68411305,53.73790565,53.80607309,53.95731182
108,Wiltshire,4713.0,-1.9694441512350096,0.19783809382327397,-2.326518028,-2.1489043017,-1.9861638461000002,-1.792217815,-1.5085844835,4713.0,51.28945416041078,0.17084685591442433,50.9505141479,51.124720886800006,51.316768178900006,51.4215182541,51.697697499200004,4713.0,5.226395077445364,14.977837592306301,0.0,0.0,0.0,2.0,165.0,4713.0,309.8905155951623,5.3142244738741695,52.0,310.0,310.0,310.0,310.0,4713.0,460.0,0.0,460.0,460.0,460.0,460.0,460.0,13.0,-2.0370265269230767,0.24322272727941646,-2.28132312,-2.20791113,-2.14449203,-1.80637737,-1.59877348,13.0,51.26654450923077,0.13505790334969206,51.04245334,51.20676977,51.3198259,51.3449091,51.46248526
109,Worcestershire,4077.0,-2.134112205440324,0.15927176629771675,-2.6244003893,-2.2533884394,-2.1616675537,-1.9752758533,-1.7799704869,4077.0,52.24145960349159,0.11120344455229347,51.9711761016,52.1460747998,52.2586897551,52.3320544474,52.439995154799995,4077.0,3.4912926171204317,2.016671248958492,0.0,2.0,3.0,5.0,13.0,4077.0,171.2374294824626,76.70999925906054,25.0,118.0,234.0,236.0,310.0,4077.0,200.0,0.0,200.0,200.0,200.0,200.0,200.0,283.0,-2.1261088477385157,0.14803536638320103,-2.39441519,-2.23846656,-2.175462,-1.94730499,-1.83209216,283.0,52.240744416466434,0.10340365885145919,52.05809535,52.18151431,52.21327962,52.32336582000001,52.42290667
11,Cardiff,2012.0,-3.1862745467813665,0.1532839531343633,-3.334069787,-3.2147012732749998,-3.18351109145,-3.164640605975,3.40426653329,2012.0,51.502605205,0.08722104460688167,51.4159739249,51.481332319525,51.500665292149996,51.520181743175,55.2781207668,2012.0,2.2524850894632205,1.134368297506243,0.0,2.0,2.0,3.0,11.0,2012.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2012.0,571.0,0.0,571.0,571.0,571.0,571.0,571.0,0.0,,,,,,,,0.0,,,,,,,
110,National - National Rail,2681.0,-1.743932859352641,1.6837074300322983,-5.839077678300001,-3.0496270460000003,-1.6578126482,-0.2131588524,1.74970804572,2681.0,52.7815358628345,1.7339048759837192,50.1216739813,51.4562443244,52.2865396927,53.62210610060001,58.5901766225,2681.0,1.6012681835136142,0.8183428121970932,0.0,1.0,1.0,2.0,13.0,2681.0,233.81424841477062,93.30894258888682,1.0,174.0,279.0,310.0,310.0,2681.0,910.0,0.0,910.0,910.0,910.0,910.0,910.0,2676.0,-1.7444546559118088,1.6838492412661186,-5.8390582,-3.04947092,-1.660509345,-0.21301341999999998,1.74973324,2676.0,52.780681480426,1.7317458558600747,50.1216623,51.456092395,52.2890265,53.621320765,58.58998232
111,Aberdeen,1415.0,-2.136030318279717,0.04441184174366293,-2.3071210447999997,-2.16121001965,-2.1256734928,-2.10130780135,-2.0626842584,1415.0,57.15208096346664,0.027633801213417283,57.0829551001,57.133620511000004,57.15141702060001,57.170477893599994,57.2144377875,1415.0,3.366077738515901,2.0271097120326838,0.0,2.0,3.0,4.0,12.0,1415.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1415.0,639.0,0.0,639.0,639.0,639.0,639.0,639.0,0.0,,,,,,,,0.0,,,,,,,
112,Aberdeenshire,2332.0,-2.3030102595663378,0.3021678459070723,-3.5428606302,-2.488812640275,-2.2932405103000004,-2.0828306563499996,-1.7766656996,2332.0,57.3302672434693,0.2423433835555006,56.7700653527,57.1217394379,57.33747792455,57.5217635149,57.69929051020001,2332.0,3.358490566037736,2.289653849809773,0.0,1.0,3.0,5.0,15.0,2332.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,2332.0,630.0,0.0,630.0,630.0,630.0,630.0,630.0,0.0,,,,,,,,0.0,,,,,,,
113,Angus,1815.0,-2.7890864788761984,0.20646221194537345,-3.3627070283999996,-2.9214505318999997,-2.7934872644,-2.6085422003,-2.4562950531,1815.0,56.633470689239005,0.09122719820144862,56.474566490600004,56.561557649950004,56.638835514499995,56.70878726535,56.911362669,1815.0,2.379063360881543,1.633646432302199,0.0,2.0,2.0,3.0,11.0,1815.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1815.0,649.0,0.0,649.0,649.0,649.0,649.0,649.0,731.0,-2.7776768793980846,0.20839869026495778,-3.33994195,-2.91270652,-2.76057342,-2.59893584,-2.45752665,731.0,56.61530585410397,0.08741036632377946,56.47677398,56.555471749999995,56.62358938,56.676456560000005,56.82772192
114,Argyll & Bute,1430.0,-5.281982876186084,0.4899262056077626,-6.9738296038,-5.48801798195,-5.141522992800001,-4.927272697599999,-4.6129637756,1430.0,56.04067407391552,0.28984541110916334,55.3099580426,55.864803566225,56.00065771850001,56.2648950631,56.625503502200004,1430.0,3.983216783216783,1.9646272200913497,0.0,3.0,4.0,5.0,13.0,1430.0,310.0,0.0,310.0,310.0,310.0,310.0,310.0,1430.0,607.0,0.0,607.0,607.0,607.0,607.0,607.0,1064.0,-5.30218723455827,0.5038487281344465,-6.97359144,-5.49576228,-5.137596,-4.934940525,-4.61705279,1064.0,56.044870935479324,0.28585891179204037,55.32320944,55.860359277499995,55.9903902,56.28268725,56.62395572
